id,nombre_comercial,tipo,grado_N,grado_P2O5,grado_K2O,grado_S,clase,formulacion,estado_colombia,fuente
436,NPK edáfico 12-26-8 grado agrícola,Compuesto,12,26,8,0,NPK(S) granulado - grado agrícola genérico,12-26-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
437,NPK edáfico 24-24-0 grado agrícola,Compuesto,24,24,0,0,NPK(S) granulado - grado agrícola genérico,24-24-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
438,NPK edáfico 2-20-12 grado agrícola,Compuesto,2,20,12,0,NPK(S) granulado - grado agrícola genérico,2-20-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
439,NPK edáfico 2-14-22 grado agrícola,Compuesto,2,14,22,0,NPK(S) granulado - grado agrícola genérico,2-14-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
440,NPK edáfico 26-2-0 grado agrícola,Compuesto,26,2,0,0,NPK(S) granulado - grado agrícola genérico,26-2-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
441,NPK edáfico 22-8-8 grado agrícola,Compuesto,22,8,8,0,NPK(S) granulado - grado agrícola genérico,22-8-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
442,NPK edáfico 24-4-10 grado agrícola,Compuesto,24,4,10,0,NPK(S) granulado - grado agrícola genérico,24-4-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
443,NPK edáfico 12-0-30-3S grado agrícola,Compuesto,12,0,30,3,NPK(S) granulado - grado agrícola genérico,12-0-30-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
444,NPK edáfico 24-16-8-3S grado agrícola,Compuesto,24,16,8,3,NPK(S) granulado - grado agrícola genérico,24-16-8-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
445,NPK edáfico 20-28-2 grado agrícola,Compuesto,20,28,2,0,NPK(S) granulado - grado agrícola genérico,20-28-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
446,NPK edáfico 0-0-16 grado agrícola,Compuesto,0,0,16,0,NPK(S) granulado - grado agrícola genérico,0-0-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
447,NPK edáfico 20-22-4 grado agrícola,Compuesto,20,22,4,0,NPK(S) granulado - grado agrícola genérico,20-22-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
448,NPK edáfico 10-22-4-3S grado agrícola,Compuesto,10,22,4,3,NPK(S) granulado - grado agrícola genérico,10-22-4-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
449,NPK edáfico 4-28-0 grado agrícola,Compuesto,4,28,0,0,NPK(S) granulado - grado agrícola genérico,4-28-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
450,NPK edáfico 12-10-8 grado agrícola,Compuesto,12,10,8,0,NPK(S) granulado - grado agrícola genérico,12-10-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
451,NPK edáfico 26-14-6 grado agrícola,Compuesto,26,14,6,0,NPK(S) granulado - grado agrícola genérico,26-14-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
452,NPK edáfico 2-14-14-3S grado agrícola,Compuesto,2,14,14,3,NPK(S) granulado - grado agrícola genérico,2-14-14-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
453,NPK edáfico 20-10-16 grado agrícola,Compuesto,20,10,16,0,NPK(S) granulado - grado agrícola genérico,20-10-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
454,NPK edáfico 22-2-18 grado agrícola,Compuesto,22,2,18,0,NPK(S) granulado - grado agrícola genérico,22-2-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
455,NPK edáfico 24-18-10 grado agrícola,Compuesto,24,18,10,0,NPK(S) granulado - grado agrícola genérico,24-18-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
456,NPK edáfico 26-0-2 grado agrícola,Compuesto,26,0,2,0,NPK(S) granulado - grado agrícola genérico,26-0-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
457,NPK edáfico 20-12-10 grado agrícola,Compuesto,20,12,10,0,NPK(S) granulado - grado agrícola genérico,20-12-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
458,NPK edáfico 16-22-14 grado agrícola,Compuesto,16,22,14,0,NPK(S) granulado - grado agrícola genérico,16-22-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
459,NPK edáfico 22-6-8-3S grado agrícola,Compuesto,22,6,8,3,NPK(S) granulado - grado agrícola genérico,22-6-8-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
460,NPK edáfico 18-14-22 grado agrícola,Compuesto,18,14,22,0,NPK(S) granulado - grado agrícola genérico,18-14-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
461,NPK edáfico 2-20-16 grado agrícola,Compuesto,2,20,16,0,NPK(S) granulado - grado agrícola genérico,2-20-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
462,NPK edáfico 4-6-18 grado agrícola,Compuesto,4,6,18,0,NPK(S) granulado - grado agrícola genérico,4-6-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
463,NPK edáfico 22-10-14 grado agrícola,Compuesto,22,10,14,0,NPK(S) granulado - grado agrícola genérico,22-10-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
464,NPK edáfico 18-16-0 grado agrícola,Compuesto,18,16,0,0,NPK(S) granulado - grado agrícola genérico,18-16-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
465,NPK edáfico 22-6-4 grado agrícola,Compuesto,22,6,4,0,NPK(S) granulado - grado agrícola genérico,22-6-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
466,NPK edáfico 16-10-12 grado agrícola,Compuesto,16,10,12,0,NPK(S) granulado - grado agrícola genérico,16-10-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
467,NPK edáfico 10-8-28 grado agrícola,Compuesto,10,8,28,0,NPK(S) granulado - grado agrícola genérico,10-8-28,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
468,NPK edáfico 4-26-20 grado agrícola,Compuesto,4,26,20,0,NPK(S) granulado - grado agrícola genérico,4-26-20,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
469,NPK edáfico 0-24-12 grado agrícola,Compuesto,0,24,12,0,NPK(S) granulado - grado agrícola genérico,0-24-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
470,NPK edáfico 20-2-28 grado agrícola,Compuesto,20,2,28,0,NPK(S) granulado - grado agrícola genérico,20-2-28,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
471,NPK edáfico 10-16-22-3S grado agrícola,Compuesto,10,16,22,3,NPK(S) granulado - grado agrícola genérico,10-16-22-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
472,NPK edáfico 20-2-22 grado agrícola,Compuesto,20,2,22,0,NPK(S) granulado - grado agrícola genérico,20-2-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
473,NPK edáfico 22-18-10 grado agrícola,Compuesto,22,18,10,0,NPK(S) granulado - grado agrícola genérico,22-18-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
474,NPK edáfico 16-10-14 grado agrícola,Compuesto,16,10,14,0,NPK(S) granulado - grado agrícola genérico,16-10-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
475,NPK edáfico 12-18-16 grado agrícola,Compuesto,12,18,16,0,NPK(S) granulado - grado agrícola genérico,12-18-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
476,NPK edáfico 30-12-2 grado agrícola,Compuesto,30,12,2,0,NPK(S) granulado - grado agrícola genérico,30-12-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
477,NPK edáfico 8-4-6 grado agrícola,Compuesto,8,4,6,0,NPK(S) granulado - grado agrícola genérico,8-4-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
478,NPK edáfico 10-8-10 grado agrícola,Compuesto,10,8,10,0,NPK(S) granulado - grado agrícola genérico,10-8-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
479,NPK edáfico 30-2-4-3S grado agrícola,Compuesto,30,2,4,3,NPK(S) granulado - grado agrícola genérico,30-2-4-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
480,NPK edáfico 6-6-18 grado agrícola,Compuesto,6,6,18,0,NPK(S) granulado - grado agrícola genérico,6-6-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
481,NPK edáfico 22-0-6 grado agrícola,Compuesto,22,0,6,0,NPK(S) granulado - grado agrícola genérico,22-0-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
482,NPK edáfico 28-18-8 grado agrícola,Compuesto,28,18,8,0,NPK(S) granulado - grado agrícola genérico,28-18-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
483,NPK edáfico 8-18-24 grado agrícola,Compuesto,8,18,24,0,NPK(S) granulado - grado agrícola genérico,8-18-24,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
484,NPK edáfico 4-20-0 grado agrícola,Compuesto,4,20,0,0,NPK(S) granulado - grado agrícola genérico,4-20-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
485,NPK edáfico 6-28-2-3S grado agrícola,Compuesto,6,28,2,3,NPK(S) granulado - grado agrícola genérico,6-28-2-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
486,NPK edáfico 6-0-26 grado agrícola,Compuesto,6,0,26,0,NPK(S) granulado - grado agrícola genérico,6-0-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
487,NPK edáfico 4-26-4 grado agrícola,Compuesto,4,26,4,0,NPK(S) granulado - grado agrícola genérico,4-26-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
488,NPK edáfico 20-10-18 grado agrícola,Compuesto,20,10,18,0,NPK(S) granulado - grado agrícola genérico,20-10-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
489,NPK edáfico 2-16-2 grado agrícola,Compuesto,2,16,2,0,NPK(S) granulado - grado agrícola genérico,2-16-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
490,NPK edáfico 6-6-22 grado agrícola,Compuesto,6,6,22,0,NPK(S) granulado - grado agrícola genérico,6-6-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
491,NPK edáfico 10-4-16 grado agrícola,Compuesto,10,4,16,0,NPK(S) granulado - grado agrícola genérico,10-4-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
492,NPK edáfico 0-18-16 grado agrícola,Compuesto,0,18,16,0,NPK(S) granulado - grado agrícola genérico,0-18-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
493,NPK edáfico 4-20-6-3S grado agrícola,Compuesto,4,20,6,3,NPK(S) granulado - grado agrícola genérico,4-20-6-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
494,NPK edáfico 22-14-8 grado agrícola,Compuesto,22,14,8,0,NPK(S) granulado - grado agrícola genérico,22-14-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
495,NPK edáfico 18-10-16 grado agrícola,Compuesto,18,10,16,0,NPK(S) granulado - grado agrícola genérico,18-10-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
496,NPK edáfico 10-16-8 grado agrícola,Compuesto,10,16,8,0,NPK(S) granulado - grado agrícola genérico,10-16-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
497,NPK edáfico 18-0-18-3S grado agrícola,Compuesto,18,0,18,3,NPK(S) granulado - grado agrícola genérico,18-0-18-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
498,NPK edáfico 4-18-4 grado agrícola,Compuesto,4,18,4,0,NPK(S) granulado - grado agrícola genérico,4-18-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
499,NPK edáfico 0-30-0-3S grado agrícola,Compuesto,0,30,0,3,NPK(S) granulado - grado agrícola genérico,0-30-0-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
500,NPK edáfico 6-22-14-3S grado agrícola,Compuesto,6,22,14,3,NPK(S) granulado - grado agrícola genérico,6-22-14-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
